GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Helloworld sample business module,net.osgiliath.sample.webapp.business.impl.conf,CDIMessagingComponents.DeltaSpikeParser,6,0,0,0,2,0,2,0,2,0
Helloworld sample business module,net.osgiliath.sample.webapp.business.impl.conf,SwaggerAPIAccessService,8,0,0,0,3,0,2,0,2,0
Helloworld sample business module,net.osgiliath.sample.webapp.business.impl.conf,CDIMessagingComponents,22,0,0,0,8,0,4,0,4,0
Helloworld sample business module,net.osgiliath.sample.webapp.business.impl.conf,CXFApplication,60,0,0,0,7,0,3,0,3,0
Helloworld sample business module,net.osgiliath.sample.webapp.business.impl.conf,CDIValidator,5,0,0,0,2,0,2,0,2,0
Helloworld sample business module,net.osgiliath.sample.webapp.business.impl.conf,SwaggerBeanConfig,60,0,0,0,12,0,3,0,3,0
Helloworld sample business module,net.osgiliath.sample.webapp.business.impl.messaging,HelloServiceJMS,104,0,2,0,23,0,9,0,8,0
Helloworld sample business module,net.osgiliath.sample.webapp.business.impl.rest,HelloServiceImpl,29,0,0,0,6,0,5,0,5,0
