GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Helloworld sample routes,net.osgiliath.sample.enterprise.routes.utils,CDIXStreamDataFormatWithGoodClassLoader,15,0,0,0,5,0,1,0,1,0
Helloworld sample routes,net.osgiliath.sample.enterprise.routes.conf,HelloRouteCDIComponents,50,0,0,0,15,0,9,0,9,0
Helloworld sample routes,net.osgiliath.sample.enterprise.routes.conf,HelloRouteCDIComponents.DeltaSpikeParser,6,0,0,0,2,0,2,0,2,0
Helloworld sample routes,net.osgiliath.sample.enterprise.routes,HelloRoute,187,0,0,0,40,0,4,0,4,0
Helloworld sample routes,net.osgiliath.sample.enterprise.routes,HelloRoute.new Processor() {...},27,0,0,0,8,0,2,0,2,0
