GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Osgiliath integration tests security,net.osgiliath.feature.itest.security.conf,BaseEncodingProvider,22,0,0,0,7,0,3,0,3,0
Osgiliath integration tests security,net.osgiliath.feature.itest.security.conf,SecurityProviderManagerProvider,19,0,0,0,5,0,2,0,2,0
Osgiliath integration tests security,net.osgiliath.feature.itest.security.conf,SecurityAuthenticationProvider,21,0,0,0,6,0,2,0,2,0
Osgiliath integration tests security,net.osgiliath.feature.itest.security,LoginPasswordSecurityService,86,0,0,0,28,0,10,0,10,0
Osgiliath integration tests security,net.osgiliath.feature.itest.security,MAuthority,11,0,0,0,3,0,3,0,3,0
Osgiliath integration tests security,net.osgiliath.feature.itest.security,AUTHORITY,46,0,0,0,6,0,5,0,5,0
Osgiliath integration tests security,net.osgiliath.feature.itest.security,RepositoryUserDetailsService,33,0,4,0,8,0,6,0,4,0
Osgiliath integration tests security,net.osgiliath.feature.itest.security,MUser,203,0,32,0,14,0,32,0,16,0
