GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Osgiliath integration tests security,net.osgiliath.feature.itest.security.conf,BaseEncodingProvider,0,22,0,0,0,7,0,3,0,3
Osgiliath integration tests security,net.osgiliath.feature.itest.security.conf,SecurityProviderManagerProvider,0,19,0,0,0,5,0,2,0,2
Osgiliath integration tests security,net.osgiliath.feature.itest.security.conf,SecurityAuthenticationProvider,0,21,0,0,0,6,0,2,0,2
Osgiliath integration tests security,net.osgiliath.feature.itest.security,LoginPasswordSecurityService,28,58,0,0,12,16,6,4,6,4
Osgiliath integration tests security,net.osgiliath.feature.itest.security,MAuthority,4,7,0,0,1,2,1,2,1,2
Osgiliath integration tests security,net.osgiliath.feature.itest.security,AUTHORITY,12,34,0,0,1,5,3,2,3,2
Osgiliath integration tests security,net.osgiliath.feature.itest.security,RepositoryUserDetailsService,6,27,2,2,2,6,2,4,0,4
Osgiliath integration tests security,net.osgiliath.feature.itest.security,MUser,112,91,28,4,2,12,19,13,3,13
