GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Business service API and service provider declaration,net.osgiliath.sample.webapp.business.spi.model,Hellos.HellosBuilder,26,0,0,0,1,0,4,0,4,0
Business service API and service provider declaration,net.osgiliath.sample.webapp.business.spi.model,Hellos,93,0,14,0,5,0,16,0,9,0
